,score_sizes,train_score_means,test_score_means
0,35,0.9965714285714284,0.0035955056179775304
1,114,0.9441228070175427,0.004044943820224721
2,194,0.8331443298969069,0.0039325842696629225
3,273,0.6958608058608056,0.0037078651685393273
4,353,0.5680169971671389,0.0043820224719101145
