name,timestamp,run,total_runtime,pi_approximate,saveMode,slices,output,input,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.executor.cores,spark.app.id,description
sparkpi,1560934370736,6,311219723,3.140835140835141,error,10,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934371121,6,2559443600,3.1416727141672713,error,100,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934373751,6,24645279164,3.1415499514154996,error,1000,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934398647,7,298885016,3.141183141183141,error,10,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934399011,7,2496623223,3.1414179141417913,error,100,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934401572,7,24576099821,3.1414420314144205,error,1000,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934426389,8,304737673,3.1404231404231404,error,10,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934426758,8,2494814608,3.1419619141961914,error,100,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934429320,8,24485923481,3.141419911414199,error,1000,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934454043,9,300415210,3.139079139079139,error,10,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934454402,9,2488716238,3.1419291141929113,error,100,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
sparkpi,1560934456950,9,24500164250,3.141631071416311,error,1000,"","",147.75.65.221,35174,file:/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,driver,cluster,spark://147.75.77.77:7077,5G,1,app-20190619084928-0000,Spark Pi
